Timestamp,Date,Time,Emotion,Score
1770231976.924757,2026-02-05,00:36:16,happy,0.5139
1770231977.1141977,2026-02-05,00:36:17,sad,0.4999
1770231977.1788592,2026-02-05,00:36:17,neutral,0.3719
1770231977.3689902,2026-02-05,00:36:17,neutral,0.6316
1770231977.3649504,2026-02-05,00:36:17,sad,0.4043
1770231977.4807193,2026-02-05,00:36:17,sad,0.3955
1770231977.6376016,2026-02-05,00:36:17,sad,0.8432
1770231977.6431534,2026-02-05,00:36:17,sad,0.3258
1770231977.6977122,2026-02-05,00:36:17,neutral,0.7769
1770231977.7828119,2026-02-05,00:36:17,neutral,0.5401
1770231977.856812,2026-02-05,00:36:17,neutral,0.6132
1770231978.1198018,2026-02-05,00:36:18,sad,0.8516
1770231978.1948316,2026-02-05,00:36:18,neutral,0.7846
1770231978.2787926,2026-02-05,00:36:18,sad,0.8524
1770231978.2828107,2026-02-05,00:36:18,neutral,0.7057
1770231978.391908,2026-02-05,00:36:18,neutral,0.5861
1770231978.4293537,2026-02-05,00:36:18,neutral,0.7274
1770231978.4916613,2026-02-05,00:36:18,happy,0.8524
1770231978.5067472,2026-02-05,00:36:18,neutral,0.6968
1770231978.5713763,2026-02-05,00:36:18,neutral,0.6156
1770231978.592471,2026-02-05,00:36:18,sad,0.4225
1770231978.8643,2026-02-05,00:36:18,neutral,0.7476
1770231978.8537297,2026-02-05,00:36:18,neutral,0.3165
1770231978.9035125,2026-02-05,00:36:18,neutral,0.6753
1770231978.9393752,2026-02-05,00:36:18,neutral,0.3796
1770231978.960616,2026-02-05,00:36:18,neutral,0.4407
1770231978.9874053,2026-02-05,00:36:18,neutral,0.9314
1770231979.108418,2026-02-05,00:36:19,neutral,0.8923
1770231979.2193656,2026-02-05,00:36:19,fear,0.5156
1770231979.4591975,2026-02-05,00:36:19,sad,0.6128
1770231979.5650353,2026-02-05,00:36:19,sad,0.5924
1770231979.6030238,2026-02-05,00:36:19,neutral,0.7690
